Element			Symbol	Order#	R	C	Atomic Weight	Density		Atomic Diameter	Terr.Abund.	Coef.of Resis.
Technetium      Tc      43      5   7   99.0            -999.0      -999.0          -999.0      -999.0
Tellurium       Te      52      5   16  127.61          6.25        2.9             0.002       -999.0
Terbium         Tb      65      7   11  158.93          -999.0      3.54            0.91        -999.0
Thallium        Tl      81      8   13  204.39          11.86       3.42            3.0         17.6
Thorium         Th      90      10  4   232.05          -999.0      -999.0          11.5        18.0
Thulium         Tm      69      7   15  168.94          -999.0      3.48            0.2         -999.0
Tin             Sn      50      5   14  118.7           7.29        3.164           40.0        11.5
Titanium        Ti      22      4   4   47.9            4.5         2.93            4400.0      55.0
Uranium         U       92      10  6   238.07          18.7        -999.0          4.0         29.0
Vanadium        V       23      4   5   50.95           5.87        2.71            150.0       58.5
Wolfram         W       74      8   6   183.92          -999.0      2.82            69.0        -999.0
Xenon           Xe      54      5   18  131.3           -999.0      4.4             1.2E-6      -999.0
Ytterbium       Yb      70      7   16  173.04          -999.0      3.87            2.66        -999.0
Yttrium         Y       39      5   3   88.92           3.8         3.62            28.1        -999.0
Zinc            Zn      30      4   12  65.38           4.32        2.748           132.0       5.75
Zirconium       Zr      40      5   4   91.22           6.44        3.19            220.0       41.0
